sentPcktSize1,sentPcktSize2,sentPcktSize3,sentPcktSize4,sentPcktSize5,sentPcktSize6,sentPcktSize7,sentPcktSize8,sentPcktSize9,sentPcktSize10,rcvdPcktSize1,rcvdPcktSize2,rcvdPcktSize3,rcvdPcktSize4,rcvdPcktSize5,rcvdPcktSize6,rcvdPcktSize7,rcvdPcktSize8,rcvdPcktSize9,rcvdPcktSize10,label,sentInterPcktDelay1,sentInterPcktDelay2,sentInterPcktDelay3,sentInterPcktDelay4,sentInterPcktDelay5,sentInterPcktDelay6,sentInterPcktDelay7,sentInterPcktDelay8,sentInterPcktDelay9,rcvdInterPcktDelay1,rcvdInterPcktDelay2,rcvdInterPcktDelay3,rcvdInterPcktDelay4,rcvdInterPcktDelay5,rcvdInterPcktDelay6,rcvdInterPcktDelay7,rcvdInterPcktDelay8,rcvdInterPcktDelay9
106,40,106,40,106,40,106,40,106,40,100,100,100,100,100,100,100,100,100,100,smart-bulb,0.10599994659423828,54.06700015068054,0.06299996376037598,54.14499998092651,0.08800029754638672,54.07999992370606,0.05900001525878906,54.14999985694885,0.08299994468688965,54.1729998588562,54.20899987220764,54.16800022125244,54.20899987220764,54.19899988174439,54.18400001525879,54.20499992370606,54.18400001525879,54.189000368118286
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,motion-sensor,2.8969998359680176,5.013000249862671,5.010999917984009,5.015999794006348,5.01200008392334,5.012000322341919,5.0159995555877686,5.012000322341919,5.01200008392334,2.884000301361084,5.011999845504762,5.01200008392334,5.016000032424927,5.011999845504762,5.01200008392334,5.016000032424927,5.011999845504762,5.01200008392334
52,52,52,52,52,52,52,52,52,52,494,366,286,398,286,430,398,840,398,286,nest-security-camera,0.021000146865844727,0.029000043869018555,0.051999807357788086,0.014000177383422852,0.04199981689453125,0.0280001163482666,0.05299997329711914,0.014999866485595703,0.04000020027160645,0.029000043869018555,0.05200004577636719,0.01399993896484375,0.04200029373168945,0.0279998779296875,0.05200004577636719,0.014999866485595703,0.0409998893737793,0.029000282287597656
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,motion-sensor,4.4720001220703125,5.010999917984009,5.023000001907349,5.01200008392334,5.011999845504762,5.013000011444092,5.009999990463257,5.015999794006348,5.014000415802002,4.455999851226807,5.01200008392334,5.016000032424927,5.019999980926514,5.011999845504762,5.01200008392334,5.011000156402588,5.016000032424927,5.011999845504762
106,40,106,40,106,40,106,40,106,40,100,100,100,100,100,100,100,100,100,100,smart-bulb,0.043999910354614265,54.1489999294281,0.09100008010864258,54.06000018119812,0.07399988174438478,54.10700011253357,0.12399983406066895,54.05799984931946,0.07700014114379883,54.192999839782715,54.15200018882752,54.179999828338616,54.18199992179871,54.21499991416931,54.14900040626526,54.20899987220764,54.17400002479553,54.1949999332428
158,52,158,52,158,52,0,0,0,0,121,121,121,0,0,0,0,0,0,0,smart-plug,0.019999980926513672,235.8439998626709,0.021000146865844727,235.8470001220703,0.020999908447265625,600.0,600.0,600.0,600.0,235.86400032043457,235.867999792099,600.0,600.0,600.0,600.0,600.0,600.0,600.0
1138,398,302,238,382,398,590,366,334,398,52,52,52,52,52,52,52,52,52,52,nest-security-camera,0.039999961853027344,0.017999887466430664,0.04700016975402832,0.015999794006347656,0.01699995994567871,0.029000043869018555,0.0410001277923584,0.03299975395202637,0.016000032424926758,0.0410001277923584,0.017999887466430664,0.04600000381469727,0.016000032424926758,0.017000198364257812,0.029000043869018555,0.0409998893737793,0.03299999237060547,0.017000198364257812
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,motion-sensor,0.9600000381469728,5.009999990463257,5.016000032424927,5.013000011444092,5.014999866485597,5.012000322341919,5.016999959945679,5.011999845504762,5.013000249862671,0.9459998607635498,5.011999845504762,5.012000322341919,5.016000032424927,5.011999845504762,5.016000032424927,5.014999866485597,5.01200008392334,5.011999845504762
106,40,106,40,106,40,106,40,106,40,100,100,100,100,100,100,100,100,100,100,smart-bulb,0.1400001049041748,54.00099992752075,0.14600014686584473,54.02299976348877,0.08100008964538574,54.06500005722046,0.0690000057220459,54.123000144958496,0.11599969863891603,54.141000270843506,54.16899991035461,54.14599990844727,54.19200015068054,54.18400001525879,54.180999994277954,53.71299982070923,54.15000009536743,54.16800022125244
158,52,158,52,158,52,0,0,0,0,121,121,121,0,0,0,0,0,0,0,smart-plug,0.026999711990356445,235.84400010108948,0.020999908447265625,235.8510000705719,0.02200007438659668,600.0,600.0,600.0,600.0,235.8719999790192,235.8719999790192,600.0,600.0,600.0,600.0,600.0,600.0,600.0
